1010;"Balanserade utgifter "
" ";" "
" ";" "
" ";" "
1020;"Koncessioner m.m. "
" ";" "
1030;"Patent "
" ";" "
1040;"Licenser "
" ";" "
1050;"Varumärken "
" ";" "
1060;"Hyresrätter, tomträtter och liknande"
" ";" "
1070;"Goodwill "
" ";" "
1080;"Pågående projekt och förskott för immateriella anläggningstillgångar "
" ";" "
;
11;"Byggnader och mark"
1110;"Byggnader "
" ";" "
" ";" "
" ";" "
1120;"Förbättringsutgifter på annans fastighet"
1130;"Mark "
1140;"Tomter och obebyggda markområden "
1150;"Markanläggningar "
" ";" "
1180;"Pågående nyanläggningar och förskott för byggnader och mark "
" ";" "
;
12;"Maskiner och inventarier"
1210;"Maskiner och andra tekniska anläggningar "
" ";" "
" ";" "
" ";" "
1220;"Inventarier och verktyg "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1230;"Installationer "
" ";" "
" ";" "
" ";" "
1240;"Bilar och andra transportmedel "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1250;"Datorer "
" ";" "
" ";" "
" ";" "
1260;"Leasade tillgångar "
1280;"Pågående nyanläggningar och förskott för maskiner och inventarier "
" ";" "
1290;"Övriga materiella anläggningstillgångar "
" ";" "
" ";" "
" ";" "
;
13;" Finansiella anläggningstillgångar"
1310;"Andelar i koncernföretag "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1320;"Långfristiga fordringar hos koncernföretag "
" ";" "
" ";" "
" ";" "
1330;"Andelar i intresseföretag "
" ";" "
1340;"Långfristiga fordringar hos intresseföretag "
1350;"Andelar och värdepapper i andra företag "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1360;"Lån till delägare eller närstående, långfristig del"
;
1370;"Uppskjuten skattefordran "
1380;"Andra långfristiga fordringar "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
;
;
14;"Lager, produkter i arbete och pågående arbeten"
1410;"Lager av råvaror "
1420;"Lager av tillsatsmaterial och förnödenheter "
1430;"Lager av halvfabrikat "
" ";" "
;
;
" ";" "
1440;"Produkter i arbete "
1450;"Lager av färdiga varor "
1460;"Lager av handelsvaror "
;
;
;
1470;"Pågående arbeten "
" ";" "
" ";" "
" ";" "
1480;"Förskott för varor och tjänster "
" ";" "
1490;"Övriga lagertillgångar"
;
;
;
15;"Kundfordringar"
1510;"Kundfordringar "
;
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1520;"Växelfordringar "
" ";" "
1530;"Kontraktsfordringar "
" ";" "
" ";" "
" ";" "
" ";" "
1550;"Konsignationsfordringar "
1560;"Kundfordringar hos koncernföretag "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
1570;"Kundfordringar hos intresseföretag "
" ";" "
" ";" "
1580;"Fordringar för kontokort och kuponger "
;
;
16;"Övriga kortfristiga fordringar"
1610;"Kortfristiga fordringar hos anställda "
" ";" "
" ";" "
" ";" "
" ";" "
